"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","source","associationType","text","sentence","pmYear","score","chemsInSentence","reference_type","reference","ancestry_name","ancestry_id","chemical_effect","polarity"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","GeneticVariation",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Philadelphia chromosome positive chronic myelogenous leukemia","[disease]","C0279543","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","RGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Philadelphia chromosome positive chronic myelogenous leukemia","[disease]","C0279543","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","MGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","The inherited macular degeneration Doyne honeycomb retinal dystrophy/Malattia Leventinese is thought to be caused by an R345W mutation in the EFEMP1 gene (also called fibulin-3).","The inherited macular degeneration <span class='disease' en_id='C1832174'>Doyne honeycomb retinal dystrophy</span>/<span class='disease' en_id='C1832174'>Malattia Leventinese</span> is thought to be caused by an R345W mutation in the <span class='gene' en_id='2202'>EFEMP1</span> gene (also called <span class='gene' en_id='2202'>fibulin-3</span>).",2007,1,NA,"PMID","17666404","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","GeneticVariation","Long-Range PCR-Based NGS Applications to Diagnose Mendelian Retinal Diseases.","Long-Range PCR-Based NGS Applications to Diagnose Mendelian Retinal Diseases.",2021,1,NA,"PMID","33546218","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","ML is caused by a mutation (R345W) in the gene EFEMP1 which encodes fibulin-3, a protein of unknown function.","<span class='disease' en_id='C1832174'>ML</span> is caused by a mutation (R345W) in the gene <span class='gene' en_id='2202'>EFEMP1</span> which encodes <span class='gene' en_id='2202'>fibulin-3</span>, a protein of unknown function.",2007,1,NA,"PMID","17664227","","",NA,"Positive"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","UNIPROT","CausalMutation","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.",1999,1,NA,"PMID","10369267","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Malattia leventinese/Doyne honeycomb retinal dystrophy in a chinese family with mutation of the EFEMP1 gene.","Malattia leventinese/Doyne honeycomb retinal dystrophy in a chinese family with mutation of the EFEMP1 gene.",2014,1,NA,"PMID","25111685","Chinese","HANCESTRO:0021",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINGEN","CausalMutation","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.",1999,1,NA,"PMID","10369267","","",NA,NA
