"gene_symbol","status"
"NTM-AS1","No association found in CURATED database"
"TBC1D22B","No association found in CURATED database"
"SLC6A12-AS1","No association found in CURATED database"
"GPR85","No association found in CURATED database"
"LINC01122","No association found in CURATED database"
"BICDL3P","No association found in CURATED database"
"QTGAL","No association found in CURATED database"
"TREML2","No association found in CURATED database"
"CBR1-AS1","No association found in CURATED database"
"PRSS50","No association found in CURATED database"
"SCAMP1","No association found in CURATED database"
"PRMT5-DT","No association found in CURATED database"
"LZTS3","No association found in CURATED database"
"LINC01500","No association found in CURATED database"
"PRAMEF5","No association found in CURATED database"
"WIPF3","No association found in CURATED database"
"MIR595","No association found in CURATED database"
"ZFP28","No association found in CURATED database"
"B3GNT3","No association found in CURATED database"
"PCBP3","No association found in CURATED database"
"RNF150","No association found in CURATED database"
"MIR4655","No association found in CURATED database"
"FBXW10","No association found in CURATED database"
"OR6W1P","No association found in CURATED database"
"CHCHD6","No association found in CURATED database"
"GALNT17","No association found in CURATED database"
"MAGI1-AS1","No association found in CURATED database"
"GRAMD4","No association found in CURATED database"
"KLRC4-KLRK1","No association found in CURATED database"
"LINC01089","No association found in CURATED database"
"AGAP3","No association found in CURATED database"
"PCDHB3","No association found in CURATED database"
