gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
A2ML1	1	exploratory eye movement measurement	Exploratory eye movement dysfunction in schizophrenia (responsive search score)	http://www.ebi.ac.uk/efo/EFO_0007700	26242244	GCST003065
A2ML1 - PHC1	1	age at onset, major depressive disorder	Depression (age of onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0002009	35330412	GCST90104443
AATBC - MYL6P1	1	mental or behavioural disorder	Psychiatric symptomatology	http://www.ebi.ac.uk/efo/EFO_0000677	33762635	GCST90027270
AATK	7	Anxiety; depressive symptom measurement; major depressive disorder; neurotic disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Depressive symptoms; Externalizing behaviour (multivariate analysis); Lifetime major depressive disorder (MTAG); Major depressive disorder (broad); Neuroticism; Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0004257; http://www.ebi.ac.uk/efo/EFO_0007006	29942085; 30643256; 32231276; 34446935; 37985818; 38177345	GCST006478; GCST007340; GCST010017; GCST90061435; GCST90328131; GCST90449008; GCST90449009
ABCA1	11	anxiety measurement, non-high density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, non-high density lipoprotein cholesterol measurement	HDL x anxiety interaction (2df test); HDL x depression interaction (2df test); HDL x low social support interaction (2df test); LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570647; GCST90570649; GCST90570665; GCST90570667; GCST90570669; GCST90570683; GCST90570685; GCST90570695; GCST90570697; GCST90570699; GCST90570703
ABCA12	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	40962958	GCST90568441
ABCA13	1	major depressive disorder	Depression	http://purl.obolibrary.org/obo/MONDO_0002009	34586374	GCST90058032
ABCA5	2	anxiety measurement, low density lipoprotein cholesterol measurement; attempted suicide	LDL x anxiety interaction (2df test); Suicide attempts in schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004321; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	31164008; 40537477	GCST008120; GCST90570671
ABCA6	2	schizophrenia, sex interaction measurement	Schizophrenia x sex interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012310; GCST012311
ABCA8	1	depressive symptom measurement, non-high density lipoprotein cholesterol measurement	HDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570697
