"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,40,NA,NA,NA,NA,1,2006,2025,"Definitive",0.957446808510638,"C0007193"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal dominant",0,22,NA,NA,NA,NA,1,1993,2025,"Definitive",0.968253968253968,"C1854369"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","Autosomal dominant",0,18,NA,NA,NA,NA,1,1997,2022,"Definitive",0.880952380952381,"C1832174"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Philadelphia chromosome positive chronic myelogenous leukemia","[disease]","C0279543","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Europe,France,Europe,Europe,United States","Annual incidence,Annual incidence,Point prevalence,Lifetime Prevalence,Annual incidence","Not applicable",25,5,NA,NA,NA,NA,1,2005,2021,NA,0.922059846903271,"C0279543"
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Obesity","[disease]","C0028754","Nutritional and Metabolic Diseases (C18) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease of metabolism (0014667)","Growth abnormality (01507)","","","","",5,1,NA,NA,NA,NA,1,2009,2009,NA,0.87012987012987,"C0028754"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","leukemia","[disease]","C0023418","Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the immune system (02715) | Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","","","","",27,0,NA,NA,NA,NA,1,NA,NA,NA,0.927083333333333,"C0023418"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Acute lymphocytic leukemia","[disease]","C0023449","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the immune system (02715) | Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,1,NA,NA,NA,0.896694214876033,"C0023449"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase congenital disorder of glycosylation (disorder)","[disease]","C4225320","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nutritional and Metabolic Diseases (C18)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,13,NA,NA,NA,NA,0.95,1970,2023,"Definitive",1,"C4225320"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL DOMINANT 1","[disease]","C4721885","","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,25,NA,NA,NA,NA,0.9,1995,2020,"Strong",1,"C4721885"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","PERIVENTRICULAR NODULAR HETEROTOPIA 7","[disease]","C4310669","","Disease or Syndrome (T047)","","","","","","",0,7,NA,NA,NA,NA,0.9,2016,2023,"Definitive",1,"C4310669"
