PMID,Title,Abstract,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,primero_criteria_met (Y/N),primero_category,primero_explanation
37062770,Exploring the mediation of DNA methylation across the epigenome between childhood adversity and First Episode of Psychosis-findings from the EU-GEI study,"Studies conducted in psychotic disorders have shown that DNA-methylation (DNAm) is sensitive to the impact of Childhood Adversity (CA). However, whether it mediates the association between CA and psychosis is yet to be explored. Epigenome wide association studies (EWAS) using the Illumina Infinium-Methylation EPIC array in peripheral blood tissue from 366 First-episode of psychosis and 517 healthy controls was performed. Adversity scores were created for abuse, neglect and composite adversity with the Childhood Trauma Questionnaire (CTQ). Regressions examining (I) CTQ scores with psychosis; (II) with DNAm EWAS level and (III) between DNAm and caseness, adjusted for a variety of confounders were conducted. Divide-Aggregate Composite-null Test for the composite null-hypothesis of no mediation effect was conducted. Enrichment analyses were conducted with missMethyl package and the KEGG database. Our results show that CA was associated with psychosis (Composite: OR = 1.68; p = -8). However, 28, 34 and 29 differentially methylated probes associated with 21, 27, 20 genes passed a less stringent discovery threshold (p -5) for composite, abuse and neglect respectively, with a lack of overlap between abuse and neglect. These included genes previously associated to psychosis in EWAS studies, such as PANK1, SPEG TBKBP1, TSNARE1 or H2R. Downstream gene ontology analyses did not reveal any biological pathways that survived false discovery rate correction. Although at a non-significant level, DNAm changes in genes previously associated with schizophrenia in EWAS studies may mediate the CA-psychosis association. These results and associated involved processes such as mitochondrial or histaminergic disfunction, immunity or neural signalling requires replication in well powered samples. The lack of overlap between mediating genes associated with abuse and neglect suggests differential biological trajectories linking CA subtypes and psychosis.","Alameda L, Liu Z, Sham PC, Aas M, Trotta G, Rodriguez V, Di Forti M, Stilo SA, Kandaswamy R, Arango C, Arrojo M, Bernardo M, Bobes J, de Haan L, Del-Ben CM, Gayer-Anderson C, Sideli L, Jones PB, Jongsma HE, Kirkbride JB, La Cascia C, Lasalvia A, Tosato S, Llorca PM, Menezes PR, van Os J, Quattrone D, Rutten BP, Santos JL, Sanjuán J, Selten JP, Szöke A, Tarricone I, Tortelli A, Velthorst E, Morgan C, Dempster E, Hannon E, Burrage J, Dwir D, Arumuham A, Mill J, Murray RM, Wong CCY.",Mol Psychiatry. 2023 May;28(5):2095-2106. doi: 10.1038/s41380-023-02044-9. Epub 2023 Apr 17.,Alameda L,Mol Psychiatry,2023,4/16/2023,,,10.1038/s41380-023-02044-9,Y,Included,EWAS of child adversity & psychosis
34333774,Paternal adverse childhood experiences: Associations with infant DNA methylation,"Adverse childhood experiences (ACEs), or cumulative childhood stress exposures, such as abuse, neglect, and household dysfunction, predict later health problems in both the exposed individuals and their offspring. One potential explanation suggests exposure to early adversity predicts epigenetic modification, especially DNA methylation (DNAm), linked to later health. Stress experienced preconception by mothers may associate with DNAm in the next generation. We hypothesized that fathers' exposure to ACEs also associates with their offspring DNAm, which, to our knowledge, has not been previously explored. An epigenome-wide association study (EWAS) of blood DNAm (n = 45) from 3-month-old infants was regressed onto fathers' retrospective ACEs at multiple Cytosine-phosphate-Guanosine (CpG) sites to discover associations. This accounted for infants' sex, age, ethnicity, cell type proportion, and genetic variability. Higher ACE scores associated with methylation values at eight CpGs. Post-hoc analysis found no contribution of paternal education, income, marital status, and parental postpartum depression, but did with paternal smoking and BMI along with infant sleep latency. These same CpGs also contributed to the association between paternal ACEs and offspring attention problems at 3 years. Collectively, these findings suggested there were biological associations with paternal early life adversity and offspring DNAm in infancy, potentially affecting offspring later childhood outcomes.","Merrill SM, Moore SR, Gladish N, Giesbrecht GF, Dewey D, Konwar C, MacIssac JL, Kobor MS, Letourneau NL.",Dev Psychobiol. 2021 Sep;63(6):e22174. doi: 10.1002/dev.22174. Epub 2021 Aug 1.,Merrill SM,Dev Psychobiol,2021,8/1/2021,,,10.1002/dev.22174,N,Intergenerational,intergenerational paternal ACEs effect on offspring DNAm
35899434,Socioeconomic changes predict genome-wide DNA methylation in childhood,"Childhood socioeconomic position (SEP) is a major determinant of health and well-being across the entire life course. To effectively prevent and reduce health risks related to SEP, it is critical to better understand when and under what circumstances socioeconomic adversity shapes biological processes. DNA methylation (DNAm) is one such mechanism for how early life adversity 'gets under the skin'. In this study, we evaluated the dynamic relationship between SEP and DNAm across childhood using data from 946 mother-child pairs in the Avon Longitudinal Study of Parents and Children. We assessed six SEP indicators spanning financial, occupational and residential domains during very early childhood (ages 0-2), early childhood (ages 3-5) and middle childhood (ages 6-7). Epigenome-wide DNAm was measured at 412 956 cytosine-guanines (CpGs) from peripheral blood at age 7. Using an innovative two-stage structured life-course modeling approach, we tested three life-course hypotheses for how SEP shapes DNAm profiles-accumulation, sensitive period and mobility. We showed that changes in the socioeconomic environment were associated with the greatest differences in DNAm, and that middle childhood may be a potential sensitive period when socioeconomic instability is especially important in shaping DNAm. Top SEP-related DNAm CpGs were overrepresented in genes involved in pathways important for neural development, immune function and metabolic processes. Our findings highlight the importance of socioeconomic stability during childhood and if replicated, may emphasize the need for public programs to help children and families experiencing socioeconomic instability and other forms of socioeconomic adversity.","Liu J, Cerutti J, Lussier AA, Zhu Y, Smith BJ, Smith ADAC, Dunn EC.",Hum Mol Genet. 2023 Feb 19;32(5):709-719. doi: 10.1093/hmg/ddac171.,Liu J,Hum Mol Genet,2023,7/28/2022,PMC10365844,,10.1093/hmg/ddac171,N,Wrong Exposure,"EWAS on childhood SEP, not maltreatment"
40394752,Maternal birth experience and DNA methylation,"Childbirth influences maternal and new-born's future health, with the Epigenetic Impact of Childbirth (EPIIC) hypothesis proposing that labour stress affects foetal gene expression. This study explores how birth experiences relate to DNA methylation in infants, breastfeeding and mother-infant bonding. Data from the Avon Longitudinal Study of Parents and Children was used, including 14,541 pregnant women. The ARIES subset of 1,022 mother-child pairs provided DNA methylation profiles. Maternal birth experience (MBE) was evaluated, with mother-infant bonding and breastfeeding. Statistical analysis involved linear regression and epigenome-wide association study. Half of the mothers reported at least one negative childbirth event, with 7% experiencing three or more adverse events. Negative MBE correlated with shorter breastfeeding duration and weaker mother-infant bonding. No significant CpG associations with MBE were found. While positive MBE is linked to improved mother-infant bonding and breastfeeding, no significant changes in DNA methylation profiles were observed in the offspring. Further research is needed to understand MBE's long-term impact on child health.","Holuka C, Melacca A, Menta G, D'Ambrosio C, Morano S, Štefulj J, Calleja-Agius J, Bordoni L, Gabbianelli R, Turner JD.",J Dev Orig Health Dis. 2025 May 21;16:e21. doi: 10.1017/S2040174425000133.,Holuka C,J Dev Orig Health Dis,2025,5/20/2025,,,10.1017/S2040174425000133,N,Intergenerational,EWAS on maternal birth experience effect on infant DNAm
41504111,Inter-individual differentially methylated region-targeted EWAS reveals epigenetic signatures of early childhood adversity,"Adverse childhood experiences (ACEs), especially in early life, can affect psychosocial development and increase lifelong risk for mental disorders. ACEs are also known to induce persistent epigenetic changes. This study aimed to explore ACE-associated DNA methylation signatures using an epigenome-wide association study (EWAS) targeting inter-individual differentially methylated regions (DMRs). We developed a targeted capture probe system covering ~1.3 million CpG sites within inter-individual DMRs. This system was applied to salivary DNA from drug-naïve children aged 6-12 years with exposure to multiple early-life ACEs (n = 23) or who had no ACEs (n = 21). We identified 15 novel DMRs significantly associated with ACEs. A cluster of six CpG sites within an exon of the EIF4G2 gene showed consistently increased methylation in children with ACEs, with strong inter-site correlations. Enrichment analysis indicated that genes near these DMRs are involved in neurodevelopmental disorders, suggesting that early adversity may influence brain development through epigenetic mechanisms. Our findings suggest that early adversity may contribute to lasting epigenetic modifications in children. The identified DMRs may serve as noninvasive biomarkers for retrospective ACE assessment and provide insights into the biological embedding of early-life stress.","Mayanagi T, Yagi J, Ohmomo H, Akasaka M, Fukumoto K, Chiba S, Komaki S, Shimizu A, Yanbe T, Uchide M, Yoshioka Y, Ogawa K, Ishikawa C, Minabe S, Ito J, Ono K, Kaneko N, Sobue K.",Epigenomics. 2026 Jan;18(1):89-100. doi: 10.1080/17501911.2026.2613008. Epub 2026 Jan 7.,Mayanagi T,Epigenomics,2026,1/8/2026,PMC12826735,,10.1080/17501911.2026.2613008,Y,Included,EWAS of ACEs on DNAm in children
33749330,Epigenetic age associates with psychosocial stress and resilience in children of Latinx immigrants,"Aim: To investigate associations of psychosocial stressors and resilience factors with DNA methylation age in the saliva of Latinx children of immigrants before and after the 2016 presidential election (2015-2018). Materials & methods: We compared psychosocial exposures with four distinct measures of epigenetic age assessed in the saliva of children (6-13 years, n = 71 pre-election; n = 35 post-election). Exploratory genome-wide analyses were also conducted. Results: We found distinct associations across epigenetic clocks and time points; for example, greater maternal social status pre-election and fear of parent deportation post-election both associated with decreased Hannum age (p ? 0.01). Conclusion: Although limited in size, our unique study design provides novel hypotheses regarding how the social environment may influence epigenetic aging and genome-wide methylation, potentially contributing to racial/ethnic health inequalities.","Clausing ES, Binder AM, Non AL.",Epigenomics. 2021 Nov;13(21):1677-1699. doi: 10.2217/epi-2019-0343. Epub 2021 Mar 22.,Clausing ES,Epigenomics,2021,3/22/2021,,,10.2217/epi-2019-0343,Y,Included,EWAS of psychosocial stress & DNAm in children
40057810,"Maternal epigenetic index links early neglect to later neglectful care and other psychopathological, cognitive, and bonding effects","Past experiences of maltreatment and life adversity induce DNA methylation changes in adults, but less is known about their impact on mothers' maladaptive neglectful parenting and its negative effects. We performed an epigenome-wide association study to investigate the role of DNA methylation levels in mothers with neglectful care, who were exposed to childhood maltreatment and neglect, and their current negative effects. Saliva DNA methylation was determined with the Illumina Human Methylation EPIC BeadChip v1. The individual epigenome was the input to a machine learning algorithm for trajectory inference, which assigned a specific state to each mother in the progression from healthy controls to the extreme neglect condition. A compound epigenetic maternal neglect score (EMN) was derived from 138 mothers (n = 51 in the neglectful group; n = 87 in the control non-neglectful group) having young children. Differential methylation between groups was utilized to derive the EMNs adjusted for education level, age, experimental variables, and blood cell types in saliva samples. Structural equation modeling: X2 (29) = 37.81; p = 0.127; RMSEA = 0.048, confirmed that EMNs link their early experience of physical neglect to current reports of psychopathological symptoms, lower cognitive status, and observed poor mother-child emotional availability. A third of the genes annotated to the CpGs that affect EMNs are related to cognitive impairment and neurodegenerative and psychopathological disorders. EMNs are a novel index to assess the contribution of DNA methylations as a neglected girl to later neglectful caregiving behavior and other negative effects. The evidence provided expands the possibilities for earlier interventions on the neglect condition to prevent and ameliorate the direct or indirect epigenetic impact of maternal adversities on mother-child care, helping to break the cycle of maltreatment.","León I, Góngora D, Rodrigo MJ, Herrero-Roldán S, López Rodríguez M, Mitchell C, Fisher J, Iturria-Medina Y.",Clin Epigenetics. 2025 Mar 8;17(1):46. doi: 10.1186/s13148-025-01839-7.,León I,Clin Epigenetics,2025,3/8/2025,PMC11890505,,10.1186/s13148-025-01839-7,Y,Included,EWAS on childhood maltreatment & neglect in mothers
35395780,Epigenetics of early-life adversity in youth: cross-sectional and longitudinal associations,"Altered DNA methylation (DNAm) may be one pathway through which early-life adversity (ELA) contributes to adverse mental and physical health outcomes. This study investigated whether the presence versus absence of ELA experiences reflecting the dimensions of threat and deprivation were associated with epigenome-wide DNAm cross-sectionally and longitudinally in a community-based sample of children and adolescents. In 113 youths aged 8-16 years with wide variability in ELA, we examined associations of abuse (physical, sexual, emotional; indicating threat-related experiences) and neglect (emotional, physical; indicating deprivation-related experiences) with DNAm assessed with the Illumina EPIC BeadChip array, with DNA derived from saliva. In cross-sectional epigenome-wide analyses, we investigated associations of lifetime abuse and neglect with DNAm at baseline. In longitudinal epigenome-wide analyses, we examined whether experiencing abuse and neglect over an approximately 2-year follow-up were each associated with change in DNAm from baseline to follow-up. In cross-sectional analyses adjusting for lifetime experience of neglect, lifetime experience of abuse was associated with DNAm for four cytosine-phosphodiester-guanine (CpG) sites (cg20241299: coefficient = 0.023, SE = 0.004; cg08671764: coefficient = 0.018, SE = 0.003; cg27152686: coefficient = - 0.069, SE = 0.012; cg24241897: coefficient = - 0.003, SE = 0.001; FDR < .05). In longitudinal analyses, experiencing neglect over follow-up was associated with an increase in DNAm for one CpG site, adjusting for abuse over follow-up (cg03135983: coefficient = 0.036, SE = 0.006; FDR < .05). In this study, we identified examples of epigenetic patterns associated with ELA experiences of threat and deprivation that were already observable in youth. We provide novel evidence for change in DNAm over time in relation to ongoing adversity and that experiences reflecting distinct ELA dimensions may be characterized by unique epigenetic patterns.","Sumner JA, Gambazza S, Gao X, Baccarelli AA, Uddin M, McLaughlin KA.",Clin Epigenetics. 2022 Apr 8;14(1):48. doi: 10.1186/s13148-022-01269-9.,Sumner JA,Clin Epigenetics,2022,4/9/2022,PMC8994405,,10.1186/s13148-022-01269-9,Y,Included,EWAS of ELA (abuse/neglect) in youth
38407202,DNA methylation-environment interactions in the human genome,"Previously, we showed that a massively parallel reporter assay, mSTARR-seq, could be used to simultaneously test for both enhancer-like activity and DNA methylation-dependent enhancer activity for millions of loci in a single experiment (Lea et al., 2018). Here, we apply mSTARR-seq to query nearly the entire human genome, including almost all CpG sites profiled either on the commonly used Illumina Infinium MethylationEPIC array or via reduced representation bisulfite sequencing. We show that fragments containing these sites are enriched for regulatory capacity, and that methylation-dependent regulatory activity is in turn sensitive to the cellular environment. In particular, regulatory responses to interferon alpha (IFNA) stimulation are strongly attenuated by methyl marks, indicating widespread DNA methylation-environment interactions. In agreement, methylation-dependent responses to IFNA identified via mSTARR-seq predict methylation-dependent transcriptional responses to challenge with influenza virus in human macrophages. Our observations support the idea that pre-existing DNA methylation patterns can influence the response to subsequent environmental exposures-one of the tenets of biological embedding. However, we also find that, on average, sites previously associated with early life adversity are not more likely to functionally influence gene regulation than expected by chance.","Johnston RA, Aracena KA, Barreiro LB, Lea AJ, Tung J.",Elife. 2024 Feb 26;12:RP89371. doi: 10.7554/eLife.89371.,Johnston RA,Elife,2024,2/26/2024,PMC10942648,,10.7554/eLife.89371,N,Methodological,method paper on mSTARR-seq for functional validation
37845746,Maternal adverse childhood experiences (ACEs) and DNA methylation of newborns in cord blood,"Adverse childhood experiences (ACEs) increase the risk of poor health outcomes later in life. Psychosocial stressors may also have intergenerational health effects by which parental ACEs are associated with mental and physical health of children. Epigenetic programming may be one mechanism linking parental ACEs to child health. This study aimed to investigate epigenome-wide associations of maternal preconception ACEs with DNA methylation patterns of children. In the Center for the Health Assessment of Mothers and Children of Salinas study, cord blood DNA methylation was measured using the Illumina HumanMethylation450 BeadChip. Preconception ACEs, which occurred during the mothers' childhoods, were collected using a standard ACE questionnaire including 10 ACE indicators. Maternal ACE exposures were defined in this study as (1) the total number of ACEs; (2) the total number of ACEs categorized as 0, 1-3, and > 4; and (3) individual ACEs. Associations of ACE exposures with differential methylated positions, regions, and CpG modules determined using weighted gene co-expression network analysis were evaluated adjusting for covariates. Data on maternal ACEs and cord blood DNA methylation were available for 196 mother/newborn pairs. One differential methylated position was associated with maternal experience of emotional abuse (cg05486260/FAM135B gene; q value < 0.05). Five differential methylated regions were significantly associated with the total number of ACEs, and 36 unique differential methylated regions were associated with individual ACEs (Šidák p value < 0.05). Fifteen CpG modules were significantly correlated with the total number of ACEs or individual ACEs, of which 8 remained significant in fully adjusted models (p value < 0.05). Significant modules were enriched for pathways related to neurological and immune development and function. Maternal ACEs prior to conception were associated with cord blood DNA methylation of offspring at birth. Although there was limited overlap between differential methylated regions and CpGs in modules associated with ACE exposures, statistically significant regions and networks were related to genes involved in neurological and immune function. Findings may provide insights to pathways linking psychosocial stressors to health. Further research is needed to understand the relationship between changes in DNA methylation and child health.","Collender P, Bozack AK, Veazie S, Nwanaji-Enwerem JC, Van Der Laan L, Kogut K, Riddell C, Eskenazi B, Holland N, Deardorff J, Cardenas A.",Clin Epigenetics. 2023 Oct 16;15(1):162. doi: 10.1186/s13148-023-01581-y.,Collender P,Clin Epigenetics,2023,10/16/2023,PMC10577922,,10.1186/s13148-023-01581-y,N,Intergenerational,intergenerational maternal ACEs to offspring methylation
